flow_id	scenario
50abeba1	reset
c8d6549c	one-qty-cancelled-ok
647f2eb2	one-qty-after-order-rejected
ba987a40	one-qty-after-cancel-ok
551e795b	one-time-rejected
ae662cdd	one-qty-quantity-rejected
fabc0fac	product-not-found
d9931412	sale-period-ok
d9ce900b	sale-period-ended
ebc5f8f1	yumail-single
fb8371cf	yumail-revert
1308dbe5	cod-yumail-rejected
9a3fd9fb	cod-other-address-rejected
80a12831	deferred-credit-limit-rejected
4a298264	prepaid-only-ok
71a0512f	yumail-date-rejected
d2e0821a	delayed-area-date-rejected
6ff8dab6	remote-island-date-rejected
c6bde0ff	working-day-window-rejected
2d43abae	delivery-date-too-late-rejected
62ce81e6	delivery-time-yumail-rejected
5f445295	first-free-shipping
a1f5dc18	repeat-shipping-fee
40662b6e	repeat-free-shipping
7716c4f4	gift-attached
899be8d0	point-guest-rejected
4bb1b390	point-ok
ab519462	point-insufficient
dc63c524	variety-ok
d6896ce6	variety-mixed-rejected
9c4460d0	variety-quantity-rejected
75a88ab0	reserved-cart
63b356a2	set-n-plus-one
f75293c1	missing-email-rejected
8d288940	credit-order
1c6fd68c	credit-callback
