flow_id	scenario
cde8ca19	reset
54f700b4	one-qty-cancelled-ok
953a73b9	one-qty-after-order-rejected
7eb76aee	one-qty-after-cancel-ok
1cdaabc3	one-time-rejected
54dd70aa	one-qty-quantity-rejected
bce4e196	product-not-found
1f13c289	sale-period-ok
d11f44ba	sale-period-ended
6bcfaaf9	yumail-single
43dd38ad	yumail-revert
91d1ee43	cod-yumail-rejected
15872436	cod-other-address-rejected
1455f0c3	deferred-credit-limit-rejected
8d78a9ab	prepaid-only-ok
ed2edd61	yumail-date-rejected
dcd2300e	delayed-area-date-rejected
bc0f0c84	remote-island-date-rejected
e0d95cc0	working-day-window-rejected
de03694a	delivery-date-too-late-rejected
ab5d2a8e	delivery-time-yumail-rejected
07424bd0	first-free-shipping
3156f8a9	repeat-shipping-fee
22553b41	repeat-free-shipping
f79662c5	gift-attached
1ffb2e71	point-guest-rejected
8997c5db	point-ok
a5d2e3f0	point-insufficient
529d8d3c	variety-ok
df46ee23	variety-mixed-rejected
448a3bc6	variety-quantity-rejected
e994001e	reserved-cart
b9d4150d	set-n-plus-one
e80e3ff6	missing-email-rejected
1de38650	credit-order
00e15870	credit-callback
