flow_id	scenario
9796b59c	reset
d5c7056d	one-qty-cancelled-ok
da41cb6f	one-qty-after-order-rejected
556b0f6c	one-qty-after-cancel-ok
2505dcf8	one-time-rejected
24f53534	one-qty-quantity-rejected
dfcb64ff	product-not-found
dbfeda1c	sale-period-ok
172f8c7d	sale-period-ended
49f3895b	yumail-single
2ed2d8a8	yumail-revert
a5420ec7	cod-yumail-rejected
9b02646e	cod-other-address-rejected
9efd9816	deferred-credit-limit-rejected
4febf5e1	prepaid-only-ok
b975528c	yumail-date-rejected
f22b7748	delayed-area-date-rejected
df7f2dcd	remote-island-date-rejected
e63706f6	working-day-window-rejected
4355eb6d	delivery-date-too-late-rejected
0f0cb347	delivery-time-yumail-rejected
732c92ab	first-free-shipping
fc5afa46	repeat-shipping-fee
3f869ed2	repeat-free-shipping
6f68c1bd	gift-attached
e772c59b	point-guest-rejected
f2e87f77	point-ok
fce27bd7	point-insufficient
f8422967	variety-ok
dc49d6ef	variety-mixed-rejected
9fbc20a2	variety-quantity-rejected
e26632d4	reserved-cart
9cab830f	set-n-plus-one
71a2b563	missing-email-rejected
d4517f0a	credit-order
aa0f1d31	credit-callback
